1;Fastav Zlín;SK Slavia Praha
1;FC Viktoria Plzeò;FK Mladá Boleslav
1;FC Slovan Liberec;1. FC Slovácko
1;SK Dynamo Èeské Budìjovice;FK Teplice
1;AC Sparta Praha;SK Sigma Olomouc
1;FK Pardubice;MFD OKD Karviná
1;FK Jablonec;FC Baník Ostrava
1;FC Hradec Králové;Bohemians Praha 1905
2;Bohemians Praha 1905;FC Viktoria Plzeò
2;1. FC Slovácko;SK Dynamo Èeské Budìjovice
2;FC Baník Ostrava;Fastav Zlín
2;FC Slovan Liberec;AC Sparta Praha
2;SK Sigma Olomouc;FK Pardubice
2;FK Mladá Boleslav;FK Jablonec
2;MFD OKD Karviná;FC Hradec Králové
2;FK Teplice;SK Slavia Praha
3;SK Slavia Praha;SK Sigma Olomouc
3;FC Viktoria Plzeò;1. FC Slovácko
3;FK Pardubice;FK Mladá Boleslav
3;FK Jablonec;Bohemians Praha 1905
3;Fastav Zlín;FK Teplice
3;AC Sparta Praha;MFD OKD Karviná
3;FC Hradec Králové;FC Slovan Liberec
3;SK Dynamo Èeské Budìjovice;FC Baník Ostrava
4;FC Slovan Liberec;FC Viktoria Plzeò
4;FK Teplice;FK Jablonec
4;1. FC Slovácko;FC Hradec Králové
4;FC Baník Ostrava;FK Pardubice
4;Bohemians Praha 1905;AC Sparta Praha
4;FK Mladá Boleslav;SK Slavia Praha
4;MFD OKD Karviná;Fastav Zlín
4;SK Sigma Olomouc;SK Dynamo Èeské Budìjovice
5;SK Slavia Praha;FC Baník Ostrava
5;FC Viktoria Plzeò;MFD OKD Karviná
5;FK Jablonec;1. FC Slovácko
5;SK Dynamo Èeské Budìjovice;FC Slovan Liberec
5;AC Sparta Praha;FC Hradec Králové
5;Fastav Zlín;SK Sigma Olomouc
5;FK Pardubice;Bohemians Praha 1905
5;FK Mladá Boleslav;FK Teplice
6;MFD OKD Karviná;SK Slavia Praha
6;SK Sigma Olomouc;FK Jablonec
6;FC Hradec Králové;FC Viktoria Plzeò
6;Bohemians Praha 1905;FK Teplice
6;AC Sparta Praha;SK Dynamo Èeské Budìjovice
6;1. FC Slovácko;FK Pardubice
6;FC Baník Ostrava;FK Mladá Boleslav
6;FC Slovan Liberec;Fastav Zlín
7;SK Slavia Praha;1. FC Slovácko
7;FK Mladá Boleslav;SK Sigma Olomouc
7;FK Jablonec;MFD OKD Karviná
7;SK Dynamo Èeské Budìjovice;FC Hradec Králové
7;FC Viktoria Plzeò;AC Sparta Praha
7;Fastav Zlín;Bohemians Praha 1905
7;FK Teplice;FC Baník Ostrava
7;FK Pardubice;FC Slovan Liberec
8;Bohemians Praha 1905;SK Slavia Praha
8;AC Sparta Praha;FK Jablonec
8;MFD OKD Karviná;FK Teplice
8;FC Viktoria Plzeò;SK Dynamo Èeské Budìjovice
8;1. FC Slovácko;Fastav Zlín
8;FC Slovan Liberec;FK Mladá Boleslav
8;SK Sigma Olomouc;FC Baník Ostrava
8;FC Hradec Králové;FK Pardubice
9;SK Slavia Praha;FC Hradec Králové
9;FK Teplice;SK Sigma Olomouc
9;FK Mladá Boleslav;1. FC Slovácko
9;FK Jablonec;FC Slovan Liberec
9;Fastav Zlín;AC Sparta Praha
9;FK Pardubice;FC Viktoria Plzeò
9;FC Baník Ostrava;Bohemians Praha 1905
9;SK Dynamo Èeské Budìjovice;MFD OKD Karviná
10;AC Sparta Praha;SK Slavia Praha
10;FC Slovan Liberec;FC Baník Ostrava
10;MFD OKD Karviná;FK Mladá Boleslav
10;FC Hradec Králové;FK Jablonec
10;FC Viktoria Plzeò;Fastav Zlín
10;1. FC Slovácko;FK Teplice
10;SK Dynamo Èeské Budìjovice;FK Pardubice
10;Bohemians Praha 1905;SK Sigma Olomouc
11;FK Pardubice;AC Sparta Praha
11;Fastav Zlín;FC Hradec Králové
11;FK Teplice;FC Viktoria Plzeò
11;SK Sigma Olomouc;MFD OKD Karviná
11;SK Slavia Praha;FC Slovan Liberec
11;FC Baník Ostrava;1. FC Slovácko
11;FK Mladá Boleslav;Bohemians Praha 1905
11;FK Jablonec;SK Dynamo Èeské Budìjovice
12;AC Sparta Praha;FK Mladá Boleslav
12;FC Viktoria Plzeò;FK Jablonec
12;FC Hradec Králové;FK Teplice
12;SK Dynamo Èeské Budìjovice;SK Slavia Praha
12;1. FC Slovácko;Bohemians Praha 1905
12;FK Pardubice;Fastav Zlín
12;FC Slovan Liberec;SK Sigma Olomouc
12;MFD OKD Karviná;FC Baník Ostrava
13;SK Slavia Praha;FC Viktoria Plzeò
13;FC Baník Ostrava;AC Sparta Praha
13;FK Mladá Boleslav;FC Hradec Králové
13;FK Jablonec;FK Pardubice
13;SK Sigma Olomouc;1. FC Slovácko
13;Fastav Zlín;SK Dynamo Èeské Budìjovice
13;FK Teplice;FC Slovan Liberec
13;Bohemians Praha 1905;MFD OKD Karviná
14;AC Sparta Praha;FK Teplice
14;Fastav Zlín;FK Jablonec
14;FK Pardubice;SK Slavia Praha
14;MFD OKD Karviná;1. FC Slovácko
14;FC Viktoria Plzeò;SK Sigma Olomouc
14;FC Slovan Liberec;Bohemians Praha 1905
14;FC Hradec Králové;FC Baník Ostrava
14;SK Dynamo Èeské Budìjovice;FK Mladá Boleslav
15;Bohemians Praha 1905;SK Dynamo Èeské Budìjovice
15;FK Mladá Boleslav;Fastav Zlín
15;SK Sigma Olomouc;FC Hradec Králové
15;FC Baník Ostrava;FC Viktoria Plzeò
15;MFD OKD Karviná;FC Slovan Liberec
15;1. FC Slovácko;AC Sparta Praha
15;FK Teplice;FK Pardubice
15;SK Slavia Praha;FK Jablonec
16;SK Dynamo Èeské Budìjovice;1. FC Slovácko
16;FK Pardubice;SK Sigma Olomouc
16;Fastav Zlín;FC Baník Ostrava
16;FC Viktoria Plzeò;Bohemians Praha 1905
16;FC Hradec Králové;MFD OKD Karviná
16;FK Jablonec;FK Mladá Boleslav
16;SK Slavia Praha;FK Teplice
16;AC Sparta Praha;FC Slovan Liberec
17;Bohemians Praha 1905;FK Jablonec
17;MFD OKD Karviná;AC Sparta Praha
17;FC Slovan Liberec;FC Hradec Králové
17;FK Mladá Boleslav;FK Pardubice
17;FC Baník Ostrava;SK Dynamo Èeské Budìjovice
17;SK Sigma Olomouc;SK Slavia Praha
17;1. FC Slovácko;FC Viktoria Plzeò
